A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,,,,,,,,,,,,,,,,,,Daniel Borges,D. Borges,73318,2305,MIR,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,,Daniel Fortunato Borges,0.0,2,4.0,1,daniel-borges,5,2026,0.0
,,,,,2.0,1.0,,,2.0,,,,,,,,,,,Samuel Xavier,S. Xavier,73384,266,FLU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,3.7,,Samuel Xavier Brito,3.7,2,8.66,1,samuel-xavier,7,2026,-0.34
,,,,,,,,,,,,,,,,,,,1.0,Gilmar Dal Pozzo,G. Pozzo,73481,315,CHA,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1,7.95,,Gilmar Dal Pozzo,7.95,6,5.24,1,gilmar-dal-pozzo,7,2026,2.24
,,,,,,,,,,,,,,,,,,,,Juan Carlos Osorio,J. Osorio,73717,364,REM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,1,1.97,,Juan Carlos Osorio Arbeláez,1.97,6,5.6,1,juan-carlos-osorio,7,2026,-0.4
,,,,,,,,,,,,,,,,,,,,Rincón,Rincón,74187,277,SAN,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,,Tomás Eduardo Rincón Hernández,0.0,4,4.0,1,rincon,6,2026,0.0
,,,,,2.0,1.0,,,1.0,,,,,,,,,,,Carrillo,Carrillo,77485,264,COR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,3.2,,André Martín Carrillo Díaz,3.2,4,6.85,1,carrillo,6,2026,-0.15
,,,,,1.0,,,1.0,,,,,,,,,,,,Cédric Soares,C. Soares,77656,276,SAO,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,2.3,,Cédric Ricardo Alves Soares,2.3,2,5.72,1,cedric-soares,6,2026,-0.28
,,,,,2.0,1.0,,,1.0,,,,,,,,,,,João Schmidt,J. Schmidt,77777,277,SAN,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,3.2,,João Felipe Schmidt Urbano,3.2,4,6.03,1,joao-schmidt,7,2026,0.03
,,,,,,,,,,,,,,,,,,,,Madson,Madson,78077,293,CAP,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,0.0,,Madson Ferreira dos Santos,0.0,2,5.0,1,madson,6,2026,0.0
,,,,,,,,,2.0,,,,,1.0,,,,,,Everaldo,Everaldo,78117,266,FLU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,0.9,,Everaldo Stum,0.9,5,4.41,1,everaldo,6,2026,-0.59
